Charge,Dist_m,Elev_mil,D_Elev_per_100m_DR_mil,TOF_per_100m_DR_sec,TOF_sec,Az_per_1ms_mil,w_range_1ms_h_m,w_range_1ms_t_m,air_t_1_dec_m,air_t_1_inc_m,air_dens_1_dec_m,air_dens_1_inc_m
0,100,1508,-,-,15,0,0,0,0,0,0,0
0,150,1461,11.1,1.3,14.9,0,0,0,0,0,0,0
0,200,1413,15.3,1.3,14.8,0,0,0,0,0,0,0
0,250,1363,20.2,1.3,14.7,0,0,0,0,0,0,0
0,300,1310,26.1,1.4,14.5,0,0,0,0,0,0,0
0,350,1253,33.4,1.5,14.2,0,0,0,0,0,0,0
0,400,1191,43.3,1.6,13.9,0,0,0,0,0,0,0
0,450,1120,58,1.7,13.4,0,0,0,0,0,0,0
0,500,1031,84,2,12.8,0,0,0,0,0,0,0
0,550,876,165.4,2.9,11.4,0,0,0,0,0,0,0
1,400,1508,2,0.7,30,0,0,0,0,0,0,0
1,450,1496,2.3,0.7,30,0,0,0,0,0,0,0
1,500,1485,2.6,0.7,29.9,0,0,0,0,0,0,0
1,550,1473,2.8,0.7,29.9,0,0,0,0,0,0,0
1,600,1461,3.1,0.7,29.8,0,0,0,0,0,0,0
1,650,1449,3.4,0.7,29.8,0,0,0,0,0,0,0
1,700,1437,3.7,0.7,29.7,0,0,0,0,0,0,0
1,750,1425,4,0.7,29.7,0,0,0,0,0,0,0
1,800,1413,4.4,0.7,29.6,0,0,0,0,0,0,0
1,850,1400,4.7,0.7,29.5,0,0,0,0,0,0,0
1,900,1388,5,0.7,29.5,0,0,0,0,0,0,0
1,950,1375,5.4,0.7,29.4,0,0,0,0,0,0,0
1,1000,1363,5.8,0.7,29.3,0,0,0,0,0,0,0
1,1050,1350,6.2,0.7,29.2,0,0,0,0,0,0,0
1,1100,1337,6.6,0.7,29.1,0,0,0,0,0,0,0
1,1150,1323,7.1,0.7,29,0,0,0,0,0,0,0
1,1200,1310,7.5,0.7,28.9,0,0,0,0,0,0,0
1,1250,1296,8,0.8,28.8,0,0,0,0,0,0,0
1,1300,1282,8.6,0.8,28.7,0,0,0,0,0,0,0
1,1350,1268,9.2,0.8,28.5,0,0,0,0,0,0,0
1,1400,1253,9.8,0.8,28.4,0,0,0,0,0,0,0
1,1450,1238,10.5,0.8,28.2,0,0,0,0,0,0,0
1,1500,1223,11.2,0.8,28.1,0,0,0,0,0,0,0
1,1550,1207,12.1,0.8,27.9,0,0,0,0,0,0,0
1,1600,1191,13,0.9,27.7,0,0,0,0,0,0,0
1,1650,1174,14,0.9,27.5,0,0,0,0,0,0,0
1,1700,1157,15.2,0.9,27.3,0,0,0,0,0,0,0
1,1750,1139,16.5,0.9,27.1,0,0,0,0,0,0,0
1,1800,1120,18.1,1,26.8,0,0,0,0,0,0,0
1,1850,1100,19.9,1,26.6,0,0,0,0,0,0,0
1,1900,1079,22.1,1.1,26.3,0,0,0,0,0,0,0
1,1950,1056,24.8,1.1,25.9,0,0,0,0,0,0,0
1,2000,1031,28.2,1.2,25.5,0,0,0,0,0,0,0
1,2050,1003,32.9,1.3,25.1,0,0,0,0,0,0,0
1,2100,971,39.6,1.4,24.6,0,0,0,0,0,0,0
1,2150,932,50.5,1.7,23.9,0,0,0,0,0,0,0
