Charge,Dist_m,Elev_mil,D_Elev_per_100m_DR_mil,TOF_per_100m_DR_sec,TOF_sec,Az_per_1ms_mil,w_range_1ms_h_m,w_range_1ms_t_m,air_t_1_dec_m,air_t_1_inc_m,air_dens_1_dec_m,air_dens_1_inc_m
0,100,1505,0,0,14.9,2.6,0.3,-0.2,0,0,0,0
0,150,1457,11.4,1.3,14.8,1.8,0.3,-0.2,0,0,0,0
0,200,1407,16,1.3,14.7,1.3,0.4,-0.3,0,0,0,0.1
0,250,1355,21.1,1.4,14.5,1.1,0.3,-0.3,0.1,-0.1,-0.1,0.1
0,300,1300,27.8,1.4,14.3,0.9,0.4,-0.3,0,-0.1,-0.1,0
0,350,1242,35.5,1.5,14,0.8,0.5,-0.3,0.1,-0.1,-0.1,0.1
0,400,1175,46.7,1.6,13.7,0.7,0.4,-0.4,0.1,-0.1,-0.1,0
0,450,1099,63.1,1.8,13.2,0.6,0.5,-0.3,0.1,0,-0.1,0.2
0,500,998,97,2.2,12.4,0.5,0.5,-0.4,0.1,-0.1,-0.2,0.1
1,400,1499,2.3,0.7,29,4.6,2,-1.8,0.1,0,-0.4,0.3
1,450,1486,2.7,0.7,29,4.1,2,-1.9,0.1,-0.1,-0.4,0.4
1,500,1473,2.9,0.7,28.9,3.7,2.1,-1.8,0.1,-0.1,-0.4,0.4
1,550,1459,3.2,0.7,28.9,3.4,2.1,-1.9,0.1,-0.1,-0.5,0.5
1,600,1446,3.5,0.7,28.8,3.1,2.2,-1.9,0.1,-0.1,-0.5,0.6
1,650,1433,3.9,0.7,28.8,2.9,2.2,-2,0.1,-0.1,-0.6,0.6
1,700,1419,4.3,0.7,28.7,2.7,2.2,-2,0.1,-0.1,-0.6,0.6
1,750,1406,4.6,0.7,28.6,2.5,2.3,-2,0.2,-0.1,-0.7,0.7
1,800,1392,5.1,0.7,28.6,2.4,2.3,-2.1,0.1,-0.2,-0.7,0.7
1,850,1378,5.4,0.7,28.5,2.2,2.3,-2.1,0.1,-0.2,-0.8,0.8
1,900,1364,5.8,0.7,28.4,2.1,2.5,-2.1,0.2,-0.1,-0.8,0.8
1,950,1350,6.3,0.8,28.3,2,2.5,-2.2,0.1,-0.1,-0.9,0.9
1,1000,1335,6.7,0.8,28.2,1.9,2.5,-2.2,0.2,-0.1,-0.9,0.9
1,1050,1320,7.3,0.8,28.1,1.8,2.6,-2.3,0.1,-0.1,-1,1
1,1100,1305,8,0.8,28,1.7,2.6,-2.2,0.1,-0.1,-1,1
1,1150,1290,8.7,0.8,27.8,1.7,2.6,-2.4,0.1,-0.1,-1.1,1.1
1,1200,1274,9.1,0.8,27.7,1.6,2.7,-2.4,0.1,-0.1,-1.2,1.1
1,1250,1258,9.9,0.8,27.5,1.5,2.7,-2.5,0.1,-0.1,-1.2,1.2
1,1300,1241,10.3,0.8,27.4,1.5,2.8,-2.4,0.3,-0.2,-1.3,1.2
1,1350,1224,11.5,0.9,27.2,1.4,2.8,-2.5,0.2,-0.3,-1.3,1.3
1,1400,1206,12.4,0.9,27,1.4,2.8,-2.6,0.2,-0.2,-1.4,1.4
