Charge,Dist_m,Elev_mil,D_Elev_per_100m_DR_mil,TOF_per_100m_DR_sec,TOF_sec,Az_per_1ms_mil,w_range_1ms_h_m,w_range_1ms_t_m,air_t_1_dec_m,air_t_1_inc_m,air_dens_1_dec_m,air_dens_1_inc_m
1,350,39,0,0,1.7,0,0,0,0,0,0,0
1,400,45,0,0,1.9,0,0,0,0,0,0,0
1,450,51,0,0,2.1,0,0,0,0,0,0,0
1,500,56,0,0,2.4,0,0,0,0,0,0,0
1,550,62,0,0,2.6,0,0,0,0,0,0,0
1,600,68,0,0,2.8,0,0,0,0,0,0,0
1,650,73,0,0,3.1,0,0,0,0,0,0,0
1,700,79,0,0,3.3,0,0,0,0,0,0,0
1,750,85,0,0,3.6,0,0,0,0,0,0,0
1,800,90,0,0,3.8,0,0,0,0,0,0,0
1,850,96,0,0,4,0,0,0,0,0,0,0
1,900,102,0,0,4.3,0,0,0,0,0,0,0
1,950,107,0,0,4.5,0,0,0,0,0,0,0
1,1000,113,0,0,4.8,0,0,0,0,0,0,0
1,1050,119,0,0,5,0,0,0,0,0,0,0
1,1100,125,0,0,5.3,0,0,0,0,0,0,0
1,1150,130,-89.8,0,5.5,0,0,0,0,0,0,0
1,1200,136,-86.2,0,5.7,0,0,0,0,0,0,0
1,1250,142,-82.9,0,6,0,0,0,0,0,0,0
1,1300,148,-79.9,-0.1,6.2,0,0,0,0,0,0,0
1,1350,154,-77.1,-0.1,6.5,0,0,0,0,0,0,0
1,1400,160,-74.5,-0.1,6.7,0,0,0,0,0,0,0
1,1450,166,-72,-0.1,7,0,0,0,0,0,0,0
1,1500,171,-69.8,-0.1,7.2,0,0,0,0,0,0,0
1,1550,177,-67.7,-0.1,7.5,0,0,0,0,0,0,0
1,1600,183,-65.7,-0.1,7.7,0,0,0,0,0,0,0
1,1650,189,-63.9,-0.1,8,0,0,0,0,0,0,0
1,1700,195,-62.1,-0.1,8.2,0,0,0,0,0,0,0
1,1750,202,-60.5,-0.1,8.5,0,0,0,0,0,0,0
1,1800,208,-59,-0.1,8.7,0,0,0,0,0,0,0
1,1850,214,-57.6,-0.1,9,0,0,0,0,0,0,0
1,1900,220,-56.2,-0.1,9.2,0,0,0,0,0,0,0
1,1950,226,-54.9,-0.1,9.5,0,0,0,0,0,0,0
1,2000,232,-53.7,-0.1,9.7,0,0,0,0,0,0,0
1,2050,239,-52.6,-0.1,10,0,0,0,0,0,0,0
1,2100,245,-51.5,-0.1,10.2,0,0,0,0,0,0,0
1,2150,251,-50.5,-0.1,10.5,0,0,0,0,0,0,0
1,2200,258,-49.5,-0.1,10.8,0,0,0,0,0,0,0
1,2250,264,-48.6,-0.1,11,0,0,0,0,0,0,0
1,2300,271,-47.7,-0.1,11.3,0,0,0,0,0,0,0
1,2350,277,-46.9,-0.1,11.6,0,0,0,0,0,0,0
1,2400,284,-46.1,-0.1,11.8,0,0,0,0,0,0,0
1,2450,290,-45.3,-0.1,12.1,0,0,0,0,0,0,0
1,2500,297,-44.6,-0.1,12.4,0,0,0,0,0,0,0
1,2550,304,-44,-0.2,12.6,0,0,0,0,0,0,0
1,2600,311,-43.3,-0.2,12.9,0,0,0,0,0,0,0
1,2650,317,-42.7,-0.2,13.2,0,0,0,0,0,0,0
1,2700,324,-42.2,-0.2,13.5,0,0,0,0,0,0,0
1,2750,331,-41.6,-0.2,13.8,0,0,0,0,0,0,0
1,2800,338,-41.1,-0.2,14,0,0,0,0,0,0,0
1,2850,346,-40.7,-0.2,14.3,0,0,0,0,0,0,0
1,2900,353,-40.2,-0.2,14.6,0,0,0,0,0,0,0
1,2950,360,-39.8,-0.2,14.9,0,0,0,0,0,0,0
1,3000,368,-39.4,-0.2,15.2,0,0,0,0,0,0,0
1,3050,375,-39,-0.2,15.5,0,0,0,0,0,0,0
1,3100,383,-38.7,-0.2,15.8,0,0,0,0,0,0,0
1,3150,391,-38.4,-0.2,16.1,0,0,0,0,0,0,0
1,3200,398,-38.1,-0.2,16.4,0,0,0,0,0,0,0
1,3250,406,-37.9,-0.2,16.7,0,0,0,0,0,0,0
1,3300,414,-37.6,-0.3,17,0,0,0,0,0,0,0
1,3350,423,-37.4,-0.3,17.3,0,0,0,0,0,0,0
1,3400,431,-37.3,-0.3,17.7,0,0,0,0,0,0,0
1,3450,440,-37.1,-0.3,18,0,0,0,0,0,0,0
1,3500,448,-37,-0.3,18.3,0,0,0,0,0,0,0
1,3550,457,-37,-0.3,18.7,0,0,0,0,0,0,0
1,3600,466,-37,-0.3,19,0,0,0,0,0,0,0
1,3650,476,-37,-0.3,19.4,0,0,0,0,0,0,0
1,3700,485,-37,-0.4,19.7,0,0,0,0,0,0,0
1,3750,495,-37.1,-0.4,20.1,0,0,0,0,0,0,0
1,3800,505,-37.3,-0.4,20.5,0,0,0,0,0,0,0
1,3850,516,-37.5,-0.4,20.9,0,0,0,0,0,0,0
1,3900,526,-37.8,-0.4,21.3,0,0,0,0,0,0,0
1,3950,537,-38.2,-0.4,21.7,0,0,0,0,0,0,0
1,4000,549,-38.7,-0.5,22.1,0,0,0,0,0,0,0
1,4050,561,-39.3,-0.5,22.5,0,0,0,0,0,0,0
1,4100,574,-40.1,-0.5,23,0,0,0,0,0,0,0
1,4150,587,-41,-0.6,23.5,0,0,0,0,0,0,0
1,4200,602,-42.3,-0.6,24,0,0,0,0,0,0,0
1,4250,617,-43.8,-0.7,24.5,0,0,0,0,0,0,0
1,4300,634,-45.8,-0.8,25.1,0,0,0,0,0,0,0
1,4350,652,-48.6,-0.9,25.7,0,0,0,0,0,0,0
1,4400,673,-52.6,-1,26.4,0,0,0,0,0,0,0
1,4450,698,-59,-1.2,27.2,0,0,0,0,0,0,0
1,4500,732,-71.4,-1.6,28.3,0,0,0,0,0,0,0
