Charge,Dist_m,Elev_mil,D_Elev_per_100m_DR_mil,TOF_per_100m_DR_sec,TOF_sec,Az_per_1ms_mil,w_range_1ms_h_m,w_range_1ms_t_m,air_t_1_dec_m,air_t_1_inc_m,air_dens_1_dec_m,air_dens_1_inc_m
0,1750,1208,-,-,30.5,1.5,4,-3.5,0.4,-0.2,-2,2.1
0,1800,1194,10.6,0.8,30.3,1.5,4,-3.6,0.2,-0.2,-2.2,2.2
0,1850,1179,10.9,0.8,30.1,1.4,4.1,-3.6,0.4,-0.2,-2.3,2.3
0,1900,1164,12.1,0.8,29.9,1.4,4.1,-3.6,0.4,-0.2,-2.4,2.3
0,1950,1148,12.9,0.9,29.7,1.4,4.1,-3.9,0.2,-0.2,-2.5,2.4
0,2000,1131,14.1,0.9,29.4,1.3,4.2,-3.9,0.2,-0.2,-2.6,2.4
0,2050,1114,15.4,0.9,29.2,1.3,4.2,-3.9,0.2,-0.2,-2.6,2.4
0,2100,1096,16.8,1,28.9,1.2,4.2,-3.9,0.2,-0.2,-2.7,2.4
0,2150,1077,17.8,1,28.6,1.2,4.2,-4,0.2,-0.2,-2.6,2.5
0,2200,1056,20.3,1,28.3,1.2,4.3,-4,0.2,-0.3,-2.6,2.6
0,2250,1035,22.5,1.1,28,1.1,4.3,-4,0.3,-0.3,-2.7,2.7
0,2300,1012,25.2,1.2,27.6,1.1,4.3,-3.8,0.5,-0.3,-2.8,2.8
0,2350,985,29.5,1.3,27.1,1,4.3,-4,0.3,-0.3,-3,2.9
0,2400,955,35.1,1.4,26.5,1,4.3,-4,0.3,-0.3,-3,2.7
0,2450,920,43.1,1.6,25.9,1,4.2,-3.7,0.6,-0.3,-2.8,3
0,2500,868,64.3,2.1,24.8,0.9,3.9,-3.9,0.3,-0.6,-2.9,2.9
1,2300,1203,-,-,34.9,1.7,5.9,-5.3,0.4,-0.2,-3.6,3.5
1,2350,1192,8,0.7,34.8,1.7,5.7,-5.4,0.2,-0.2,-3.6,3.6
1,2400,1180,8.5,0.7,34.6,1.7,5.8,-5.4,0.2,-0.2,-3.7,3.7
1,2450,1169,8.7,0.7,34.4,1.6,6,-5.4,0.4,-0.4,-3.8,3.7
1,2500,1156,9.3,0.8,34.2,1.6,6,-5.5,0.3,-0.5,-3.9,3.8
1,2550,1144,9.8,0.8,34.1,1.6,6.1,-5.5,0.4,-0.5,-3.9,3.9
1,2600,1131,10.5,0.8,33.8,1.5,5.9,-5.6,0.2,-0.5,-3.9,3.9
1,2650,1118,11.5,0.8,33.6,1.5,5.9,-5.8,0.3,-0.5,-4.2,3.9
1,2700,1105,11.7,0.8,33.4,1.4,6.2,-5.6,0.3,-0.2,-3.8,4.1
1,2750,1090,12.8,0.8,33.2,1.4,6.2,-5.6,0.3,-0.2,-3.6,4.1
1,2800,1076,13.5,0.9,32.9,1.4,6.2,-5.6,0.3,-0.3,-4.3,4.4
1,2850,1060,14.7,0.9,32.6,1.3,6.3,-5.9,0.3,-0.3,-4.4,4.5
1,2900,1046,16.3,0.9,32.3,1.3,6.2,-5.9,0.3,-0.3,-4.3,4.5
1,2950,1026,18.1,1,32,1.3,6.2,-5.9,0.3,-0.6,-4.6,4.6
1,3000,1007,19.9,1,31.6,1.2,6,-6,0.3,-0.6,-4.7,4.6
1,3050,988,22.4,1.1,31.2,1.2,6.3,-6,0.3,-0.5,-4.7,4.7
1,3100,965,25.4,1.2,30.7,1.2,6,-6,0.3,-0.6,-5,4.7
1,3150,941,29.2,1.3,30.2,1.1,6.2,-6,0.6,-0.3,-4.8,4.7
1,3200,911,36,1.5,29.6,1.1,5.9,-5.9,0.6,-0.3,-4.9,4.9
1,3250,874,46.7,1.8,28.7,1,6.1,-5.5,0.7,-0.4,-4.7,4.9
1,3300,796,93.9,3,26.8,0.9,5.5,-5.3,0.4,-0.4,-4.9,4.8
2,2950,1202,5.9,0.6,39.9,2,8.2,-7.8,0.5,-0.5,-5.8,5.5
2,3000,1193,6,0.6,39.7,1.9,8.2,-7.8,0.5,-0.5,-6,5.8
2,3050,1184,6.4,0.6,39.6,1.9,8.2,-7.8,0.5,-0.5,-6,5.8
2,3100,1175,6.5,0.6,39.4,1.9,8.3,-7.9,0.5,-0.5,-6.2,5.8
2,3150,1166,6.9,0.7,39.3,1.8,8.3,-8.1,0.3,-0.5,-6.3,5.9
2,3200,1157,7.1,0.7,39.1,1.8,8.6,-7.9,0.5,-0.3,-6.2,6
2,3250,1147,7.2,0.7,39,1.8,8.6,-8,0.5,-0.3,-6.3,6.1
2,3300,1137,7.7,0.7,38.8,1.7,8.6,-8,0.5,-0.5,-6.5,6.1
2,3350,1127,8.1,0.7,38.6,1.7,8.7,-8,0.5,-0.5,-6.6,6.4
2,3400,1116,8.6,0.7,38.4,1.7,8.4,-8.1,0.5,-0.5,-6.7,6.5
2,3450,1106,9.1,0.7,38.2,1.6,8.7,-8.1,0.5,-0.5,-6.8,6.6
2,3500,1095,9.6,0.7,38,1.6,8.7,-8.1,0.6,-0.6,-7,6.7
2,3550,1084,9.8,0.7,37.8,1.6,8.8,-8.1,0.6,-0.3,-7.1,6.9
2,3600,1072,10.7,0.8,37.5,1.6,8.5,-8.4,0.6,-0.6,-7.2,6.7
2,3650,1059,11.3,0.8,37.3,1.5,8.5,-8.4,0.6,-0.6,-7.3,6.8
2,3700,1047,12.2,0.8,37,1.5,8.8,-8.5,0.6,-0.6,-7.5,7
2,3750,1034,13.3,0.9,36.7,1.5,8.8,-8.5,0.6,-0.6,-7.3,7.1
2,3800,1020,13.9,0.9,36.4,1.4,8.8,-8.2,0.6,-0.6,-7.5,7.2
2,3850,1005,15.4,0.9,36.1,1.4,8.8,-8.5,0.6,-0.5,-7.6,7.4
2,3900,990,16.5,1,35.7,1.4,8.8,-8.2,0.7,-0.7,-7.7,7.5
2,3950,973,18.2,1,35.3,1.3,8.8,-8.2,0.7,-0.4,-7.6,7.5
2,4000,955,20.7,1.1,34.9,1.3,8.3,-8,0.7,-0.7,-7.7,7.5
2,4050,935,23,1.2,34.4,1.3,8.8,-8.1,0.7,-0.4,-7.9,7.6
2,4100,911,28.2,1.3,33.8,1.2,8.4,-8,0.4,-0.7,-8.2,7.7
2,4150,883,34.8,1.5,33.1,1.2,8.3,-8.4,0.4,-0.8,-8.2,7.6
2,4200,848,46.9,1.9,32.1,1.1,8.2,-7.9,0.4,-0.8,-8,7.8
3,3700,1203,4.3,0.5,45.2,2.2,12,-11,0.5,-0.5,-9,8.7
3,3800,1188,4.9,0.6,44.9,2.2,11,-11,0.5,-0.5,-9.3,8.7
3,3900,1174,5,0.6,44.7,2.1,11,-11,0.5,-0.5,-9.6,9
3,4000,1159,5.5,0.6,44.4,2,12,-11,0.6,-0.6,-9.9,9.3
3,4100,1144,5.6,0.6,44.1,2,12,-11,0.6,-0.6,-9.9,9.5
3,4200,1128,6.1,0.6,43.8,1.9,12,-11,0.6,-0.6,-10,9.8
3,4300,1111,6.8,0.6,43.4,1.9,12,-11,0.4,-0.6,-11,10
3,4400,1094,7.4,0.7,43,1.8,12,-11,0.6,-0.6,-11,10
3,4500,1075,8.2,0.7,42.6,1.8,12,-12,0.6,-0.6,-11,10
3,4600,1056,8.8,0.7,42.2,1.7,12,-12,0.6,-0.6,-11,10
3,4700,1036,10,0.8,41.7,1.6,12,-11,0.7,-0.7,-11,11
3,4800,1013,11.1,0.8,41.1,1.6,12,-11,0.7,-0.7,-12,11
3,4900,989,12.9,0.9,40.5,1.5,12,-12,0.7,-0.7,-12,11
3,5000,962,14.8,0.9,39.8,1.5,12,-11,0.7,-0.7,-12,11
3,5100,931,17.8,1,38.9,1.4,12,-11,0.8,-0.4,-12,12
3,5200,892,25.2,1.3,37.8,1.3,11,-12,0.4,-0.8,-13,12
3,5300,837,41.1,1.8,36.1,1.2,11,-11,0.5,-0.9,-13,12
4,4700,1201,3.3,0.5,51.6,2.5,16,-15,0.5,-0.5,-14,13
4,4800,1190,3.6,0.5,51.4,2.5,16,-15,0.5,-0.5,-15,14
4,4900,1179,3.7,0.5,51.2,2.4,16,-15,0.6,-0.6,-15,14
4,5000,1167,3.8,0.5,50.9,2.3,16,-16,0.7,-0.6,-16,14
4,5100,1155,4.1,0.5,50.6,2.3,16,-16,0.6,-0.6,-16,14
4,5200,1143,4.4,0.5,50.4,2.2,16,-16,0.6,-0.6,-16,15
4,5300,1131,4.6,0.5,50.1,2.2,16,-16,0.6,-0.6,-16,15
4,5400,1118,4.7,0.5,49.8,2.1,16,-16,0.6,-0.6,-17,16
4,5500,1104,5.3,0.6,49.4,2.1,17,-16,0.7,-0.7,-17,16
4,5600,1090,5.7,0.6,49.1,2,17,-16,0.7,-0.7,-17,16
4,5700,1076,6.1,0.6,48.7,2,17,-16,0.7,-0.7,-18,16
4,5800,1061,6.2,0.6,48.3,1.9,17,-16,0.7,-0.7,-18,16
4,5900,1045,7,0.6,47.9,1.9,17,-16,0.7,-0.7,-18,17
4,6000,1028,7.7,0.7,47.4,1.8,17,-16,0.8,-0.8,-17,17
4,6100,1011,8.2,0.7,47,1.8,17,-16,0.8,-0.8,-18,17
