Charge,Dist_m,Elev_mil,D_Elev_per_100m_DR_mil,TOF_per_100m_DR_sec,TOF_sec,Az_per_1ms_mil,w_range_1ms_h_m,w_range_1ms_t_m,air_t_1_dec_m,air_t_1_inc_m,air_dens_1_dec_m,air_dens_1_inc_m
0,350,165,0,0,3.4,0.1,0.4,-0.1,0.3,0,0,0.4
0,550,270,0,0,5.5,0.2,0.5,-0.1,0.3,0,-0.1,0.4
0,600,299,0,0,6.1,0.2,0.2,-0.5,0,-0.3,-0.4,0.1
0,750,393,-158.3,-0.4,7.9,0.2,0.3,-0.6,0,-0.3,-0.4,0.1
0,900,509,-152.4,-0.7,10.1,0.3,0.8,-0.4,0.3,0,-0.2,0.5
0,950,559,-157.8,-0.9,11,0.4,0.8,-0.5,0.3,0,-0.2,0.5
0,1000,623,-171.7,-1.2,12.1,0.4,0.9,-0.6,0.3,0,-0.2,0.5
0,1050,731,-222.4,-2,13.8,0.5,1,-0.7,0.2,0,-0.5,0.7
1,850,165,-117.8,0,5.4,0.2,0.7,-0.2,0.5,0,-0.1,0.7
1,950,185,-109.8,-0.1,6,0.2,0.8,-0.3,0.5,0,-0.2,0.7
1,1050,208,-101.8,0,6.7,0.2,0.4,-0.8,0,-0.5,-0.7,0.2
1,1200,241,-89.7,-0.1,7.8,0.2,0.5,-0.9,0,-0.5,-0.8,0.3
1,1250,252,-86.3,-0.2,8.1,0.2,1,-0.5,0.5,0,-0.3,0.8
1,1300,264,-83.9,0,8.5,0.3,1,-0.5,0.5,0,-0.3,0.8
1,1350,276,-81.5,-0.2,8.9,0.3,1.1,-0.6,0.5,0,-0.4,0.8
1,1400,288,-78.8,-0.2,9.2,0.3,1.1,-0.6,0.5,0,-0.4,0.9
1,1450,300,-76.9,0,9.6,0.3,1.2,-0.7,0.5,0,-0.4,0.9
1,1500,313,-75,-0.2,10,0.3,0.7,-1.2,0,-0.5,-0.9,0.4
1,1550,325,-73.2,0,10.4,0.3,1.3,-0.8,0.5,0,-1,0.9
1,1600,338,-71.4,-0.2,10.8,0.3,1.3,-0.8,0.5,0,-1,1.4
1,1650,352,-70.6,-0.3,11.2,0.3,1.4,-0.9,0.5,0,-1,1.5
1,1700,367,-69.9,-0.3,11.6,0.4,1,-1.4,0,-0.5,-1.5,1
1,1750,381,-68.9,-0.3,12.1,0.4,1.5,-1,0.5,0,-1.1,1.5
1,1800,395,-67.9,-0.3,12.5,0.4,1.1,-1.5,0,-0.5,-1.6,1.1
1,1900,426,-66.3,-0.4,13.4,0.4,1.7,-1.6,0.5,0,-1.2,1.6
1,1950,443,-66.7,-0.4,13.9,0.4,2.2,-1.7,0.4,0,-1.2,1.6
1,2000,460,-66.1,-0.4,14.4,0.4,2.3,-1.8,0.4,0,-1.2,1.7
1,2050,479,-65.5,-0.5,14.9,0.5,2.4,-1.9,0.4,0,-1.7,1.7
1,2100,499,-68.1,-0.5,15.4,0.5,2,-2.4,0,-0.4,-2.2,1.7
1,2150,519,-67.1,-0.5,16,0.5,2.1,-2.4,0,-0.4,-2.2,1.7
1,2200,541,-70,-0.6,16.6,0.5,2.6,-2.1,0.4,0,-1.8,2.2
1,2250,565,-71.8,-0.7,17.3,0.5,2.7,-2.2,0.4,0,-1.8,2.2
1,2300,593,-75,-0.8,18,0.6,2.5,-2.7,0,-0.4,-2.3,1.8
1,2350,626,-81.1,-0.9,18.8,0.6,2.6,-2.8,0,-0.4,-2.7,2.3
1,2400,667,-93,-1.3,19.9,0.6,2.8,-3,0.4,-0.4,-2.7,2.3
1,2450,731,-123.5,-2,21.4,0.7,3.7,-3.2,0.7,-0.4,-2.3,2.6
2,1600,124,-61,0,6.4,0.2,1.3,-0.5,0.8,0,-0.5,1.3
2,1800,141,-56.6,0,7.3,0.2,1.4,-0.6,0.8,0,-0.6,1.4
2,1900,150,-54.4,0,7.7,0.2,1.5,-0.7,0.8,0,-0.7,1.5
2,2000,158,-52.2,0,8.1,0.2,0.8,-1.5,0,-0.8,-1.5,1.5
2,2200,177,-47.8,-0.1,9.1,0.3,1.7,-0.9,0.8,0,-1.7,2.4
2,2300,186,-45.8,-0.1,9.5,0.3,1.8,-1,0.8,0,-1.8,2.5
2,2500,205,-42.6,-0.1,10.5,0.3,2,-1.2,0.8,0,-2,2.7
2,2600,214,-41,-0.1,10.9,0.3,2.1,-1.3,0.7,0,-2,2.7
2,2700,224,-39.6,-0.1,11.4,0.3,1.5,-2.1,0,-0.7,-2.9,2.1
2,2800,234,-38.6,-0.1,11.9,0.4,2.3,-1.5,0.7,0,-3,3.6
2,2900,244,-37.3,-0.1,12.4,0.4,2.4,-1.6,0.7,0,-3.1,3.7
2,3000,255,-36.5,-0.1,12.9,0.4,1.8,-2.5,0,-0.7,-3.9,3.1
2,3100,265,-35.5,-0.1,13.4,0.4,2.7,-2.6,0.7,0,-3.3,3.9
2,3200,276,-34.4,-0.1,13.9,0.4,2.8,-3.4,0,-0.7,-4.1,3.3
2,3300,287,-33.8,-0.2,14.4,0.4,3.6,-2.9,0.7,0,-4.2,4.1
2,3400,299,-33.7,-0.2,15,0.5,3.8,-3,0.7,0,-4.3,4.9
2,3500,310,-32.1,-0.1,15.5,0.5,3.2,-3.8,0,-0.7,-5.1,4.3
2,3600,322,-31.6,-0.1,16.1,0.5,4,-3.3,0.7,0,-4.5,5.1
2,3700,335,-31.6,-0.2,16.7,0.5,4.2,-3.4,0.7,0,-5.3,5.2
2,3800,347,-30.5,-0.2,17.2,0.5,3.7,-4.3,0,-0.7,-6.1,5.3
2,3900,360,-30.6,-0.2,17.8,0.5,4.5,-3.8,0.7,0,-5.6,6
2,4000,374,-30.4,-0.2,18.4,0.6,4.7,-4,0.7,0,-5.7,6.2
2,4100,387,-29.8,-0.2,19,0.6,4.3,-4.8,0,-0.7,-7.1,6.3
2,4200,402,-29.6,-0.2,19.7,0.6,5.1,-5,0.7,0,-6.6,7
2,4300,417,-29.8,-0.2,20.4,0.6,5.3,-5.8,0.6,-0.6,-7.3,6.5
2,4400,432,-29.4,-0.3,21.1,0.6,6.1,-5.4,0.6,-0.6,-7.5,7.2
2,4500,449,-29.2,-0.3,21.8,0.7,5.7,-6.2,0.6,-0.6,-8.2,7.3
2,4600,467,-30,-0.3,22.5,0.7,5.9,-6.4,0.6,-1.2,-8.3,7.5
2,4700,486,-30.4,-0.4,23.3,0.7,6.8,-6,1.2,-0.6,-8.4,8.7
2,4800,505,-30.9,-0.4,24.2,0.7,7,-6.3,1.2,-0.6,-8.5,8.8
2,4900,527,-31.8,-0.5,25.1,0.8,7.9,-7.1,1.2,-0.6,-9.2,9.5
2,5000,551,-33.2,-0.5,26,0.8,8.1,-7.4,1.1,-0.6,-9.9,9.6
2,5100,578,-35.1,-0.6,27.1,0.8,8.5,-7.8,1.1,-0.6,-10,10
2,5200,610,-39.3,-0.7,28.4,0.9,8.3,-8.6,0.6,-1.1,-11,10
2,5300,652,-47,-1,30,0.9,9.3,-9.6,0.5,-1,-12,11
2,5400,722,-72.9,-1.9,32.5,1.1,10,-10,0.5,-1,-13,11
3,2500,72,-39.1,0,6.1,0.2,0.7,-2,0,-1.3,-2.5,2.4
