Charge,Dist_m,Elev_mil,D_Elev_per_100m_DR_mil,TOF_per_100m_DR_sec,TOF_sec,Az_per_1ms_mil,w_range_1ms_h_m,w_range_1ms_t_m,air_t_1_dec_m,air_t_1_inc_m,air_dens_1_dec_m,air_dens_1_inc_m
0,750,1420,-,-,29.8,2.8,2.5,-2.2,0.1,-0.2,-0.8,0.8
0,800,1408,4.3,0.7,29.8,2.6,2.5,-2.3,0.1,-0.2,-0.8,0.8
0,850,1395,4.5,0.7,29.7,2.5,2.6,-2.3,0.2,-0.1,-0.9,0.9
0,900,1382,5,0.7,29.6,2.4,2.7,-2.3,0.1,-0.1,-0.9,0.9
0,950,1369,5.3,0.7,29.5,2.2,2.7,-2.4,0.2,-0.1,-1,1
0,1000,1356,5.9,0.7,29.4,2.1,2.6,-2.5,0.1,-0.2,-1,0.9
0,1050,1342,5.9,0.7,29.4,2,2.8,-2.4,0.2,-0.1,-1,1.1
0,1100,1329,6.7,0.8,29.2,1.9,2.8,-2.6,0.1,-0.2,-1.2,1
0,1150,1315,7.1,0.8,29.1,1.9,2.9,-2.5,0.3,-0.1,-1.1,1.2
0,1200,1301,7.4,0.8,29,1.8,2.9,-2.5,0.3,-0.1,-1.1,1.3
0,1250,1286,8,0.8,28.9,1.7,2.9,-2.7,0.1,-0.1,-1.3,1.2
0,1300,1272,8.7,0.8,28.8,1.7,3,-2.7,0.1,-0.1,-1.4,1.4
0,1350,1256,9.4,0.8,28.6,1.6,3,-2.7,0.2,-0.3,-1.5,1.3
0,1400,1241,9.8,0.8,28.5,1.5,3.1,-2.8,0.2,-0.3,-1.5,1.4
0,1450,1225,11,0.8,28.3,1.5,3.1,-2.8,0.2,-0.3,-1.6,1.4
0,1500,1209,11.4,0.8,28.1,1.4,3.1,-2.9,0.3,-0.2,-1.5,1.6
0,1550,1193,12.2,0.9,27.9,1.4,3.3,-2.9,0.4,-0.2,-1.6,1.7
0,1600,1175,13.4,0.9,27.7,1.3,3.2,-2.9,0.2,-0.2,-1.6,1.6
0,1650,1157,14.4,0.9,27.5,1.3,3.2,-2.9,0.2,-0.2,-1.7,1.7
0,1700,1138,15.8,0.9,27.3,1.2,3.4,-3,0.4,-0.2,-1.7,1.7
0,1750,1118,17.3,1,27,1.2,3.3,-3,0.2,-0.2,-1.8,1.8
0,1800,1097,18.9,1,26.7,1.2,3.3,-3,0.2,-0.2,-1.9,1.9
0,1850,1075,21.1,1.1,26.4,1.1,3.3,-3,0.2,-0.2,-2,1.9
0,1900,1051,24,1.1,26.1,1.1,3.3,-3,0.2,-0.2,-2,2
0,1950,1025,27.2,1.2,25.7,1,3.3,-3.1,0.2,-0.2,-2.1,2.1
0,2000,996,32.3,1.3,25.2,1,3.3,-3.1,0.3,-0.3,-2.2,2.1
