Charge,Dist_m,Elev_mil,D_Elev_per_100m_DR_mil,TOF_per_100m_DR_sec,TOF_sec,Az_per_1ms_mil,w_range_1ms_h_m,w_range_1ms_t_m,air_t_1_dec_m,air_t_1_inc_m,air_dens_1_dec_m,air_dens_1_inc_m
0,1000,228,-106.6,-0.1,6.9,0.2,0.8,-0.3,0.5,0,-0.2,0.7
0,1050,240,-101.7,-0.1,7.2,0.2,0.9,-0.4,0.5,0,-0.2,0.7
0,1100,254,-98.4,-0.1,7.6,0.2,0.4,-0.9,0,-0.5,-0.7,0.2
0,1200,281,0,0,8.4,0.3,0.5,-0.9,0,-0.5,-0.7,0.3
0,1400,338,0,0,10.1,0.3,0.7,-1.1,0,-0.4,-0.8,0.4
0,1450,353,-80.4,-0.3,10.5,0.3,0.8,-1.2,0,-0.4,-0.9,0.4
0,1500,369,-78.8,-0.3,10.9,0.3,0.8,-1.2,0,-0.4,-1.3,0.9
0,1550,385,-77.2,-0.3,11.4,0.4,0.9,-1.3,0,-0.4,-1.3,0.9
0,1600,402,-77.1,-0.3,11.9,0.4,1,-1.3,0,-0.4,-1.4,0.9
0,1800,478,-75.5,-0.5,13.9,0.4,2.1,-1.6,0.4,0,-1.1,1.5
0,1850,500,-76.7,-0.6,14.5,0.5,2.1,-1.7,0.4,0,-1.1,1.5
0,1900,523,-77.4,-0.6,15.1,0.5,1.8,-2.1,0,-0.4,-1.5,1.1
0,1950,548,-79,-0.7,15.7,0.5,2.3,-1.8,0.4,0,-1.6,1.9
0,2000,576,-81.4,-0.8,16.4,0.5,2.4,-1.9,0.4,0,-1.6,1.9
0,2050,609,-87.6,-0.9,17.3,0.6,2.5,-2,0.4,0,-1.6,1.9
0,2100,651,-97.7,-1.1,18.2,0.6,2.3,-2.5,0,-0.4,-2,1.6
0,2150,711,-122.8,-1.7,19.6,0.7,2.5,-2.7,0,-0.3,-2.3,2
1,1000,89,0,0,4.3,0.1,0.2,-1,0,-0.8,-1,0.2
1,1150,103,0,0,4.9,0.1,0.3,-1,0,-0.8,-1,0.3
1,1300,118,0,0,5.6,0.2,0.4,-1.1,0,-0.7,-1.1,0.3
1,1450,132,0,0,6.3,0.2,0.4,-1.2,0,-0.7,-1.2,0.4
1,1650,152,0,0,7.2,0.2,1.3,-0.6,0.7,0,-0.5,1.2
1,1750,162,-59.8,0,7.7,0.2,0.7,-1.4,0,-0.7,-1.3,0.6
1,1800,167,0,0,7.9,0.2,0.7,-1.4,0,-0.7,-1.3,0.6
1,1850,172,0,0,8.2,0.2,1.4,-0.7,0.7,0,-0.7,1.4
1,1900,178,-55.7,-0.1,8.4,0.3,0.8,-1.5,0,-0.7,-1.4,1.4
1,2000,188,-52.5,-0.1,8.9,0.3,0.9,-1.5,0,-0.7,-2.2,1.5
