Charge,Dist_m,Elev_mil,D_Elev_per_100m_DR_mil,TOF_per_100m_DR_sec,TOF_sec,Az_per_1ms_mil,w_range_1ms_h_m,w_range_1ms_t_m,air_t_1_dec_m,air_t_1_inc_m,air_dens_1_dec_m,air_dens_1_inc_m
0,600,1132,0,0,15.9,0.7,0.7,-0.6,0.1,-0.1,-0.2,0.2
0,650,1072,54.3,1.6,15.4,0.7,0.8,-0.7,0.1,-0.1,-0.2,0.2
0,700,994,78.5,2,14.7,0.6,0.8,-0.7,0,-0.2,-0.3,0.3
0,750,865,144.1,2.8,13.3,0.5,0.8,-0.5,0.2,0,-0.1,0.3
1,750,1144,0,0,18,0.8,1.1,-0.9,0.1,0,-0.3,0.4
1,800,1098,40.4,1.4,17.6,0.8,1,-0.9,0.1,-0.1,-0.5,0.3
1,850,1046,50.9,1.6,17.1,0.7,1,-0.9,0.2,-0.2,-0.3,0.3
1,900,981,69.3,1.9,16.4,0.6,1,-0.9,0.2,-0.2,-0.4,0.4
1,950,877,117.6,2.5,15.2,0.6,1,-0.9,0.2,-0.2,-0.4,0.4
2,950,1154,0,0,20.6,1,1.6,-1.2,0.1,-0.1,-0.5,0.5
2,1000,1121,29,1.2,20.3,0.9,1.4,-1.3,0.2,-0.2,-0.6,0.6
2,1050,1084,34.8,1.3,19.9,0.9,1.4,-1.3,0.2,-0.2,-0.6,0.6
2,1100,1042,42,1.5,19.4,0.8,1.5,-1.3,0.2,-0.2,-0.7,0.7
2,1150,992,54,1.7,18.8,0.7,1.5,-1.5,0.2,-0.2,-0.7,0.7
2,1200,927,76.6,2,18,0.7,1.4,-1.3,0.2,-0.2,-0.8,0.7
3,1250,1138,0,0,23.2,1.1,2.2,-2,0.2,-0.2,-0.9,0.9
3,1300,1111,24.4,1.1,22.9,1,2.2,-2,0.2,-0.2,-1,1
3,1350,1082,27.3,1.2,22.6,1,2.2,-2,0.2,-0.2,-1,1
3,1400,1050,31.7,1.3,22.2,0.9,2.2,-2,0.2,-0.2,-1.1,1.1
3,1450,1013,38.6,1.4,21.7,0.9,2.2,-2,0.2,-0.2,-1.1,1.1
3,1500,970,49.2,1.6,21.1,0.8,2.2,-2.1,0.2,-0.2,-1.2,1.2
3,1550,913,68.3,2,20.2,0.7,2.2,-2,0.2,-0.2,-1.3,1
4,1550,1153,0,0,26.5,1.2,2.9,-2.7,0.2,-0.2,-1.6,1.5
4,1600,1133,17.1,1,26.3,1.2,3,-2.7,0.2,-0.2,-1.6,1.6
4,1650,1112,18.8,1,26,1.1,3.2,-2.7,0.4,-0.2,-1.5,1.7
4,1700,1089,21.1,1.1,25.7,1.1,3,-2.8,0.2,-0.2,-1.8,1.5
4,1750,1065,23.5,1.1,25.3,1.1,3,-2.8,0.2,-0.2,-1.6,1.6
4,1800,1038,27.3,1.2,25,1,3.2,-2.8,0.2,-0.2,-1.7,1.9
4,1850,1009,31.9,1.3,24.5,1,3,-2.8,0.2,-0.2,-1.8,1.7
4,1900,974,38.9,1.4,24,0.9,3,-2.8,0.3,-0.3,-1.8,1.8
4,1950,934,48.6,1.6,23.3,0.9,3.3,-2.8,0.3,-0.3,-1.9,1.9
4,2000,874,73.3,2.2,22.2,0.8,2.9,-2.7,0.3,-0.3,-2,1.7
5,2000,1145,0,0,30,1.4,4.3,-4,0.4,-0.2,-2.5,2.5
5,2050,1128,13.7,0.9,29.7,1.3,4.3,-4,0.2,-0.2,-2.6,2.6
5,2100,1111,15,0.9,29.5,1.3,4.3,-4,0.2,-0.4,-2.7,2.4
5,2150,1094,16.3,0.9,29.2,1.3,4.3,-4.1,0.2,-0.2,-2.8,2.5
5,2200,1075,18.2,1,28.9,1.2,4.4,-4.1,0.2,-0.5,-2.9,2.6
5,2250,1055,19.3,1,28.6,1.2,4.4,-3.9,0.5,-0.3,-2.7,2.9
5,2300,1034,21.8,1.1,28.2,1.1,4.4,-4.1,0.3,-0.3,-2.8,2.7
5,2350,1010,24.6,1.1,27.8,1.1,4.4,-4.1,0.3,-0.3,-2.9,2.8
5,2400,984,28.7,1.2,27.4,1.1,4.4,-4.1,0.3,-0.3,-3,2.9
5,2450,955,34.2,1.4,26.8,1,4.4,-4.1,0.3,-0.3,-3.1,3
5,2500,920,42.7,1.6,26.2,1,4.3,-4.1,0.3,-0.3,-2.9,3.1
5,2550,873,59.8,2,25.2,0.9,4.3,-3.7,0.3,-0.3,-3,2.9
6,2500,1155,0,0,34.2,1.6,5.8,-5.5,0.2,-0.5,-3.9,3.8
6,2550,1143,9.9,0.8,34,1.5,6.1,-5.5,0.5,-0.2,-4,3.9
6,2600,1130,10.8,0.8,33.8,1.5,5.9,-5.8,0.2,-0.5,-4.1,3.8
6,2650,1117,11.4,0.8,33.6,1.5,5.9,-5.8,0.3,-0.5,-4.2,3.9
6,2700,1103,11.8,0.8,33.4,1.4,6.2,-5.6,0.5,-0.3,-4.1,4.2
6,2750,1089,12.8,0.8,33.1,1.4,6.2,-5.6,0.5,-0.3,-4.2,4.1
6,2800,1074,14,0.9,32.8,1.4,6.2,-5.6,0.5,-0.3,-4.3,4.2
6,2850,1058,15.2,0.9,32.6,1.3,6.2,-5.6,0.5,-0.3,-4.4,4.3
6,2900,1042,16.4,0.9,32.3,1.3,6.2,-5.6,0.6,-0.3,-4.5,4.4
6,2950,1025,18.1,1,31.9,1.3,6.2,-5.6,0.6,-0.3,-4.6,4.5
6,3000,1006,20,1,31.5,1.2,6,-5.9,0.3,-0.6,-4.7,4.3
6,3050,986,22.5,1.1,31.1,1.2,6.2,-5.6,0.6,-0.3,-4.8,4.7
6,3100,963,25.5,1.2,30.7,1.2,6.2,-5.6,0.6,-0.3,-4.7,4.5
6,3150,938,30.3,1.3,30.1,1.1,6.2,-5.9,0.3,-0.3,-4.8,4.7
6,3200,907,37.8,1.5,29.4,1.1,5.8,-5.9,0.3,-0.7,-4.9,4.8
6,3250,868,50.9,1.9,28.5,1,5.8,-5.8,0.4,-0.7,-5.1,4.6
7,3100,1154,0,0,38.3,1.8,8.2,-7.6,0.5,-0.5,-6,5.8
7,3150,1144,8,0.7,38.1,1.7,8,-7.6,0.5,-0.5,-6.1,5.7
7,3200,1133,8.4,0.7,38,1.7,8,-7.6,0.5,-0.5,-6.2,5.8
