Charge,Dist_m,Elev_mil,D_Elev_per_100m_DR_mil,TOF_per_100m_DR_sec,TOF_sec,Az_per_1ms_mil,w_range_1ms_h_m,w_range_1ms_t_m,air_t_1_dec_m,air_t_1_inc_m,air_dens_1_dec_m,air_dens_1_inc_m
0,550,408,-216.7,-0.4,6.9,0.2,0.5,-0.2,0.3,0,-0.1,0.3
0,600,459,-210.6,-0.6,7.7,0.2,0.5,-0.2,0.3,0,-0.1,0.3
0,650,520,-210.4,-0.8,8.7,0.3,0.5,-0.3,0.2,0,-0.1,0.3
0,700,596,-221.5,-1,9.8,0.3,0.4,-0.6,0,-0.2,-0.3,0.1
0,750,731,-284.7,-2,11.7,0.4,0.5,-0.6,0,-0.2,-0.3,0.1
1,700,406,0,0,7.8,0.2,0.6,-0.3,0.3,0,-0.1,0.4
1,800,492,-166.6,-0.6,9.3,0.3,0.4,-0.6,0,-0.3,-0.4,0.1
1,850,543,-169.9,-0.8,10.2,0.3,0.7,-0.4,0.3,0,-0.1,0.4
1,950,712,-225.8,-1.8,12.9,0.4,0.9,-0.6,0.2,0,-0.2,0.4
2,650,271,0,0,6,0.2,0.6,-0.2,0.4,0,-0.1,0.4
2,700,295,-157.4,-0.2,6.6,0.2,0.2,-0.6,0,-0.3,-0.4,0.1
2,750,320,0,0,7.1,0.2,0.3,-0.6,0,-0.3,-0.5,0.1
2,850,373,-137.7,-0.4,8.2,0.3,0.7,-0.3,0.3,0,-0.1,0.5
2,1050,502,-130.1,-0.6,10.8,0.3,0.6,-0.8,0,-0.3,-0.5,0.2
2,1100,543,-133.3,-0.8,11.6,0.4,0.7,-0.9,0,-0.3,-0.6,0.2
2,1150,593,-141.8,-1,12.6,0.4,0.8,-1,0,-0.3,-0.6,0.3
2,1200,657,-159.2,-1.3,13.7,0.5,0.9,-1.1,0,-0.3,-0.9,0.6
3,650,204,0,0,5.2,0.2,0.2,-0.6,0,-0.4,-0.5,0.1
3,700,220,0,0,5.6,0.2,0.6,-0.2,0.4,0,-0.1,0.5
3,800,256,0,0,6.5,0.2,0.3,-0.6,0,-0.4,-0.5,0.1
3,850,274,-128.5,-0.2,7,0.2,0.3,-0.7,0,-0.4,-0.5,0.1
3,900,293,0,0,7.4,0.2,0.3,-0.7,0,-0.4,-0.6,0.2
3,950,312,0,0,7.9,0.2,0.4,-0.7,0,-0.4,-0.6,0.2
3,1000,331,-113.5,-0.3,8.4,0.3,0.8,-0.4,0.4,0,-0.2,0.6
3,1100,373,0,0,9.4,0.3,0.9,-0.5,0.4,0,-0.2,0.6
3,1150,396,-104.7,-0.4,9.9,0.3,1,-0.5,0.4,0,-0.3,0.6
3,1250,444,-102.2,-0.4,11,0.3,0.7,-1,0,-0.4,-0.7,0.3
3,1300,471,-102.3,-0.5,11.7,0.4,0.8,-1.1,0,-0.4,-0.7,0.3
3,1350,500,-101.9,-0.6,12.3,0.4,1.2,-0.8,0.4,0,-0.7,1.1
3,1400,532,-104.9,-0.7,13,0.4,0.9,-1.2,0,-0.3,-1.1,0.7
3,1450,567,-107.6,-0.8,13.8,0.4,1.4,-1.3,0,-0.3,-1.1,0.8
3,1500,609,-115.7,-1,14.7,0.5,1.5,-1.7,0,-0.3,-1.1,0.8
3,1550,667,-134.7,-1.4,15.9,0.5,1.9,-1.5,0.3,0,-0.8,1.1
4,650,154,0,0,4.5,0.1,0.6,-0.1,0.5,0,-0.1,0.6
4,700,167,0,0,4.9,0.2,0.6,-0.2,0.5,0,-0.1,0.6
4,950,234,-112.7,-0.1,6.8,0.2,0.3,-0.8,0,-0.5,-0.6,0.2
4,1050,261,0,0,7.6,0.2,0.4,-0.8,0,-0.5,-0.7,0.2
