Charge,Dist_m,Elev_mil,D_Elev_per_100m_DR_mil,TOF_per_100m_DR_sec,TOF_sec,Az_per_1ms_mil,w_range_1ms_h_m,w_range_1ms_t_m,air_t_1_dec_m,air_t_1_inc_m,air_dens_1_dec_m,air_dens_1_inc_m
0,650,1429,0,0,28.4,2.8,2.1,-1.9,0.1,-0.1,-0.6,0.6
0,700,1415,4.6,0.7,28.3,2.6,2.2,-1.9,0.2,-0.1,-0.6,0.6
0,750,1401,5.1,0.8,28.3,2.4,2.2,-2,0.1,-0.2,-0.7,0.7
0,800,1387,5.2,0.7,28.2,2.3,2.3,-2,0.2,-0.1,-0.7,0.7
0,850,1372,5.8,0.8,28.1,2.2,2.3,-2.1,0.1,-0.2,-0.8,0.8
0,900,1358,6.2,0.8,28,2,2.4,-2.1,0.2,-0.1,-0.8,0.8
0,950,1343,6.8,0.8,27.9,1.9,2.4,-2.1,0.2,-0.1,-0.9,0.9
0,1000,1328,7.4,0.8,27.8,1.8,2.5,-2.2,0.1,-0.2,-0.9,0.9
0,1050,1313,7.8,0.8,27.7,1.8,2.5,-2.3,0.1,-0.2,-1,1
0,1100,1297,8.2,0.8,27.6,1.7,2.6,-2.2,0.3,-0.1,-1,1
0,1150,1281,9,0.8,27.4,1.6,2.6,-2.2,0.3,-0.1,-1,1.1
0,1200,1265,9.8,0.8,27.3,1.5,2.6,-2.4,0.1,-0.1,-1.2,1.1
0,1250,1248,10.5,0.8,27.1,1.5,2.7,-2.3,0.3,-0.1,-1.1,1.2
0,1300,1231,11.4,0.9,27,1.4,2.7,-2.3,0.3,-0.2,-1.1,1.3
0,1350,1213,12.2,0.9,26.8,1.4,2.7,-2.5,0.3,-0.2,-1.2,1.3
0,1400,1195,13.2,0.9,26.6,1.3,2.8,-2.5,0.2,-0.2,-1.4,1.4
0,1450,1175,14.6,0.9,26.4,1.3,2.8,-2.5,0.2,-0.2,-1.5,1.3
0,1500,1155,16.1,1,26.1,1.2,2.8,-2.6,0.2,-0.2,-1.5,1.3
0,1550,1135,17.7,1,25.9,1.2,2.8,-2.6,0.2,-0.2,-1.6,1.4
0,1600,1112,20,1,25.6,1.1,2.9,-2.6,0.2,-0.4,-1.6,1.4
0,1650,1089,21.8,1.1,25.3,1.1,2.9,-2.6,0.2,-0.2,-1.5,1.5
0,1700,1064,24.8,1.1,24.9,1,2.9,-2.7,0.2,-0.2,-1.6,1.6
0,1750,1036,28.7,1.2,24.5,1,2.9,-2.7,0.2,-0.2,-1.6,1.6
0,1800,1006,32.9,1.3,24.1,1,2.9,-2.7,0.2,-0.2,-1.7,1.7
0,1850,970,40.7,1.5,23.5,0.9,2.9,-2.7,0.3,-0.3,-1.8,1.8
0,1900,926,52.9,1.7,22.8,0.8,2.9,-2.7,0.3,-0.3,-1.9,1.8
0,1950,863,79.2,2.3,21.7,0.8,2.8,-2.6,0.3,-0.3,-1.7,1.9
1,1150,1430,0,0,38.5,3.8,5,-4.6,0.2,-0.1,-1.8,1.8
1,1200,1422,2.4,0.6,38.4,3.6,5,-4.6,0.2,-0.1,-1.9,1.9
1,1250,1415,2.4,0.6,38.4,3.5,5.2,-4.6,0.2,-0.1,-2,1.9
1,1300,1407,2.7,0.6,38.3,3.4,5.1,-4.8,0.2,-0.2,-2.1,2
1,1350,1399,2.6,0.6,38.2,3.2,5.2,-4.8,0.2,-0.2,-2.2,2.1
1,1400,1391,2.9,0.6,38.2,3.1,5.2,-4.8,0.2,-0.2,-2.2,2.2
1,1450,1383,3,0.6,38.1,3,5.2,-4.9,0.2,-0.2,-2.3,2.2
1,1500,1375,3.1,0.6,38,2.9,5.3,-4.9,0.2,-0.2,-2.4,2.2
1,1550,1366,3.2,0.6,38,2.8,5.3,-5,0.3,-0.3,-2.5,2.4
1,1600,1358,3.3,0.6,37.9,2.8,5.5,-5,0.3,-0.3,-2.6,2.5
1,1650,1350,3.6,0.6,37.8,2.7,5.5,-5.2,0.3,-0.3,-2.7,2.5
1,1700,1342,3.5,0.6,37.8,2.6,5.6,-5.1,0.3,-0.1,-2.6,2.7
1,1750,1333,3.9,0.6,37.7,2.5,5.6,-5.1,0.3,-0.2,-2.9,2.8
1,1800,1325,4,0.6,37.6,2.5,5.7,-5.2,0.3,-0.2,-2.8,2.9
1,1850,1316,4.3,0.6,37.5,2.4,5.7,-5.3,0.3,-0.3,-3,2.8
1,1900,1307,4.4,0.6,37.4,2.3,5.8,-5.2,0.3,-0.2,-3,3.1
1,1950,1298,4.6,0.6,37.3,2.3,5.8,-5.4,0.3,-0.3,-3.2,3.2
1,2000,1289,4.7,0.6,37.2,2.2,5.8,-5.5,0.3,-0.3,-3.3,3.2
1,2050,1280,4.8,0.6,37.1,2.2,6,-5.3,0.3,-0.2,-3.3,3.3
1,2100,1271,5.2,0.6,37,2.1,5.9,-5.6,0.4,-0.4,-3.5,3.3
1,2150,1262,5.6,0.6,36.9,2.1,6,-5.6,0.4,-0.4,-3.6,3.4
1,2200,1252,5.7,0.6,36.8,2,6,-5.6,0.4,-0.4,-3.7,3.5
1,2250,1243,5.9,0.6,36.6,2,6.2,-5.7,0.4,-0.2,-3.6,3.5
1,2300,1233,6.3,0.7,36.5,1.9,6.1,-5.7,0.4,-0.4,-3.7,3.6
1,2350,1223,6.4,0.7,36.4,1.9,6.3,-5.7,0.4,-0.4,-3.8,3.7
1,2400,1213,6.6,0.7,36.2,1.8,6.3,-5.8,0.4,-0.2,-3.9,3.8
1,2450,1202,7,0.7,36.1,1.8,6.4,-5.8,0.4,-0.2,-4,3.9
1,2500,1192,7.2,0.7,35.9,1.8,6.4,-5.9,0.4,-0.2,-4.1,4
1,2550,1181,8,0.7,35.8,1.7,6.5,-5.9,0.4,-0.4,-4.2,4.1
1,2600,1170,8.2,0.7,35.6,1.7,6.5,-5.9,0.4,-0.4,-4.3,4.2
1,2650,1159,8.7,0.7,35.4,1.6,6.5,-6.2,0.2,-0.5,-4.4,4.3
1,2700,1147,9.3,0.7,35.2,1.6,6.6,-6.2,0.5,-0.5,-4.5,4.4
1,2750,1135,9.5,0.7,35.1,1.6,6.6,-6,0.5,-0.3,-4.4,4.5
1,2800,1123,10.4,0.8,34.8,1.5,6.6,-6.3,0.5,-0.5,-4.7,4.4
1,2850,1110,11,0.8,34.6,1.5,6.7,-6.3,0.5,-0.5,-4.8,4.5
1,2900,1097,11.7,0.8,34.4,1.5,6.7,-6.3,0.3,-0.5,-5,4.6
1,2950,1084,12.3,0.8,34.2,1.4,6.7,-6.1,0.5,-0.3,-4.8,4.7
1,3000,1069,13.4,0.9,33.9,1.4,6.7,-6.4,0.5,-0.5,-4.9,4.8
1,3050,1054,14.5,0.9,33.6,1.4,6.7,-6.4,0.3,-0.6,-5,4.9
1,3100,1039,15.7,0.9,33.3,1.3,6.7,-6.4,0.6,-0.6,-5.1,5
1,3150,1022,17.4,1,33,1.3,6.8,-6.4,0.3,-0.6,-5.3,5.1
1,3200,1005,18.7,1,32.6,1.3,6.8,-6.4,0.6,-0.3,-5.4,5.2
1,3250,985,21.5,1.1,32.2,1.2,6.5,-6.4,0.3,-0.6,-5.5,5.1
1,3300,965,23.9,1.2,31.8,1.2,6.7,-6.4,0.3,-0.6,-5.3,5.2
1,3350,941,27.5,1.3,31.3,1.2,6.7,-6.4,0.3,-0.3,-5.5,5.3
1,3400,914,32.9,1.4,30.6,1.1,6.7,-6.4,0.7,-0.4,-5.6,5.4
1,3450,880,43.6,1.7,29.8,1.1,6.3,-6.3,0.4,-0.7,-5.7,5.3
1,3500,830,64.5,2.3,28.6,1,6.5,-5.8,0.7,-0.4,-5.6,5.4
2,3200,1429,0.6,0.3,67.8,6.5,23,-22,0.4,-0.3,-13,12
2,3300,1423,0.6,0.3,67.8,6.3,23,-22,0.4,-0.3,-14,12
2,3400,1418,0.7,0.3,67.7,6.1,23,-22,0.4,-0.3,-14,13
2,3500,1412,0.7,0.3,67.6,6,23,-22,0.4,-0.3,-14,13
2,3600,1406,0.8,0.4,67.5,5.8,23,-23,0.3,-0.4,-15,14
2,3700,1401,0.8,0.4,67.5,5.7,23,-23,0.4,-0.4,-15,14
2,3800,1395,0.8,0.4,67.4,5.5,23,-23,0.3,-0.5,-16,14
2,3900,1389,0.8,0.4,67.3,5.4,23,-23,0.5,-0.3,-16,15
2,4000,1383,0.9,0.4,67.2,5.2,23,-23,0.5,-0.3,-17,15
2,4100,1377,0.9,0.4,67.2,5.1,24,-23,0.5,-0.4,-17,16
2,4200,1371,0.9,0.4,67.1,5,24,-23,0.5,-0.4,-17,16
2,4300,1365,0.9,0.4,67,4.9,24,-23,0.4,-0.5,-18,16
2,4400,1359,0.9,0.4,66.9,4.8,24,-23,0.5,-0.4,-18,17
2,4500,1353,1,0.4,66.8,4.7,24,-23,0.5,-0.5,-19,17
2,4600,1347,1.1,0.4,66.7,4.5,24,-24,0.4,-0.6,-19,18
2,4700,1341,1.1,0.4,66.6,4.5,24,-24,0.4,-0.6,-20,18
2,4800,1334,1.1,0.4,66.5,4.4,24,-24,0.6,-0.4,-20,18
2,4900,1328,1.2,0.4,66.4,4.3,24,-24,0.4,-0.6,-20,19
2,5000,1322,1.1,0.4,66.3,4.2,25,-24,0.6,-0.4,-21,19
2,5100,1315,1.2,0.4,66.2,4.1,25,-24,0.6,-0.4,-21,19
2,5200,1309,1.2,0.4,66,4,25,-24,0.6,-0.5,-22,20
2,5300,1302,1.3,0.4,65.9,3.9,25,-24,0.6,-0.5,-22,20
2,5400,1296,1.3,0.4,65.8,3.9,25,-24,0.5,-0.5,-23,21
2,5500,1289,1.5,0.4,65.7,3.8,25,-24,0.5,-0.7,-23,21
2,5600,1282,1.5,0.4,65.5,3.7,25,-25,0.5,-0.7,-23,21
2,5700,1276,1.5,0.4,65.4,3.7,25,-25,0.5,-0.7,-24,22
2,5800,1269,1.5,0.4,65.3,3.6,25,-25,0.7,-0.5,-24,22
2,5900,1262,1.6,0.4,65.1,3.5,25,-25,0.7,-0.5,-25,22
2,6000,1255,1.6,0.4,65,3.5,26,-25,0.5,-0.5,-25,23
2,6100,1248,1.6,0.4,64.8,3.4,26,-25,0.8,-0.5,-25,23
2,6200,1241,1.7,0.4,64.6,3.3,26,-25,0.5,-0.8,-26,24
2,6300,1233,1.8,0.4,64.5,3.3,26,-25,0.6,-0.8,-26,24
2,6400,1226,1.9,0.4,64.3,3.2,26,-25,0.6,-0.8,-27,24
2,6500,1219,1.9,0.4,64.1,3.2,26,-25,0.8,-0.6,-27,25
2,6600,1211,1.9,0.4,64,3.1,26,-26,0.6,-0.8,-28,25
2,6700,1204,2,0.4,63.8,3.1,26,-26,0.6,-0.6,-28,26
2,6800,1196,2.1,0.4,63.6,3,26,-26,0.9,-0.6,-28,26
2,6900,1188,2.1,0.4,63.4,3,26,-26,0.9,-0.6,-29,26
2,7000,1180,2.1,0.4,63.2,2.9,26,-26,0.9,-0.6,-29,27
2,7100,1172,2.3,0.4,63,2.9,27,-26,0.6,-0.6,-30,27
2,7200,1164,2.4,0.4,62.8,2.8,27,-26,0.9,-0.7,-30,27
2,7300,1156,2.4,0.4,62.5,2.8,27,-26,0.9,-0.7,-30,28
2,7400,1147,2.6,0.4,62.3,2.7,27,-26,0.7,-0.9,-31,28
2,7500,1138,2.7,0.4,62.1,2.7,27,-26,0.7,-0.7,-31,29
2,7600,1129,2.7,0.4,61.8,2.6,27,-26,0.7,-0.7,-32,29
2,7700,1120,3,0.5,61.5,2.6,27,-26,0.7,-1,-32,29
2,7800,1111,3.2,0.5,61.3,2.6,27,-26,0.7,-0.7,-33,30
2,7900,1102,3.3,0.5,61,2.5,27,-26,0.7,-1,-33,30
