Charge,Dist_m,Elev_mil,D_Elev_per_100m_DR_mil,TOF_per_100m_DR_sec,TOF_sec,Az_per_1ms_mil,w_range_1ms_h_m,w_range_1ms_t_m,air_t_1_dec_m,air_t_1_inc_m,air_dens_1_dec_m,air_dens_1_inc_m
0,2400,1280,0,0,40.4,2.3,7.3,-7.1,0.4,-0.4,-4.6,4.3
0,2450,1272,4.5,0.6,40.3,2.3,7.5,-7.1,0.4,-0.4,-4.7,4.4
0,2500,1264,4.6,0.6,40.2,2.2,7.6,-7,0.4,-0.4,-4.8,4.5
0,2550,1256,4.5,0.6,40.1,2.2,7.6,-7,0.4,-0.2,-4.8,4.8
0,2600,1248,4.8,0.6,40,2.2,7.6,-7.1,0.4,-0.4,-4.9,4.7
0,2650,1240,4.9,0.6,39.8,2.1,7.7,-7.1,0.4,-0.4,-5,4.8
0,2700,1231,5.3,0.6,39.7,2.1,7.7,-7.3,0.2,-0.4,-5.3,4.9
0,2750,1223,5.4,0.6,39.6,2,7.8,-7.4,0.4,-0.4,-5.2,5
0,2800,1214,5.8,0.6,39.5,2,7.8,-7.4,0.4,-0.4,-5.5,5.2
0,2850,1205,5.9,0.6,39.3,2,7.9,-7.4,0.4,-0.4,-5.4,5.3
0,2900,1196,6,0.6,39.2,1.9,7.9,-7.5,0.5,-0.5,-5.5,5.4
0,2950,1187,6.4,0.6,39,1.9,7.9,-7.5,0.5,-0.5,-5.6,5.5
0,3000,1178,6.5,0.6,38.9,1.9,8,-7.6,0.5,-0.5,-5.8,5.6
0,3050,1169,7,0.7,38.7,1.8,8.2,-7.6,0.5,-0.3,-5.9,5.7
0,3100,1159,7.1,0.7,38.6,1.8,8,-7.6,0.5,-0.5,-6,5.8
0,3150,1149,7.5,0.7,38.4,1.7,8.3,-7.7,0.5,-0.3,-6.1,5.9
0,3200,1139,8,0.7,38.2,1.7,8.3,-7.7,0.5,-0.5,-6.2,6.1
0,3250,1129,8.2,0.7,38,1.7,8.4,-7.7,0.5,-0.3,-6.1,6.2
0,3300,1118,8.7,0.7,37.8,1.7,8.4,-7.8,0.5,-0.5,-6.5,6
0,3350,1107,9.5,0.7,37.6,1.6,8.2,-8,0.3,-0.5,-6.6,6.2
0,3400,1096,9.7,0.7,37.4,1.6,8.4,-7.8,0.6,-0.3,-6.5,6.3
0,3450,1084,10.6,0.8,37.2,1.6,8.5,-7.8,0.6,-0.6,-6.6,6.4
0,3500,1072,10.8,0.8,37,1.5,8.5,-7.8,0.6,-0.3,-6.7,6.5
0,3550,1059,11.8,0.8,36.7,1.5,8.2,-7.9,0.6,-0.6,-6.8,6.6
0,3600,1046,12.8,0.8,36.4,1.5,8.2,-7.9,0.6,-0.6,-7,6.8
0,3650,1032,13.8,0.9,36.1,1.4,8.2,-8.2,0.3,-0.6,-7.1,6.6
0,3700,1018,14.5,0.9,35.8,1.4,8.5,-7.9,0.6,-0.6,-7.2,6.7
0,3750,1003,16,0.9,35.5,1.4,8.5,-7.9,0.6,-0.6,-7.1,6.9
0,3800,987,17.6,1,35.1,1.3,8.5,-7.9,0.7,-0.7,-7.2,7
0,3850,970,19.3,1,34.7,1.3,8.5,-7.9,0.7,-0.4,-7.4,7.1
0,3900,950,22,1.1,34.3,1.3,8.2,-7.9,0.7,-0.7,-7.5,7
0,3950,930,24.8,1.2,33.8,1.2,8.5,-7.8,0.7,-0.4,-7.3,7.4
0,4000,905,29.7,1.4,33.1,1.2,8.4,-7.8,0.7,-0.4,-7.5,7.2
0,4050,874,38,1.6,32.3,1.1,8,-7.7,0.4,-0.8,-7.7,7.1
0,4100,831,56.4,2.2,31.2,1.1,7.8,-7.5,0.8,-0.4,-7.5,7.3
1,3100,1274,3.4,0.5,45.9,2.6,11,-10,0.4,-0.4,-7.3,7.1
1,3200,1261,3.5,0.5,45.8,2.5,11,-10,0.4,-0.4,-7.6,7.4
1,3300,1249,3.6,0.5,45.6,2.4,11,-10,0.4,-0.4,-7.9,7.6
1,3400,1235,4,0.5,45.3,2.4,11,-10,0.5,-0.5,-8.2,7.7
