Charge,Dist_m,Elev_mil,D_Elev_per_100m_DR_mil,TOF_per_100m_DR_sec,TOF_sec,Az_per_1ms_mil,w_range_1ms_h_m,w_range_1ms_t_m,air_t_1_dec_m,air_t_1_inc_m,air_dens_1_dec_m,air_dens_1_inc_m,,,
0,220,42,0,0,1.8,0.1,0,0,0,-0.7,-0.8,0,,400,220
0,620,84,0,0,3.7,0.1,0.9,-0.1,0.7,0,-0.1,0.8,,800,620
0,870,111,0,0,4.9,0.1,0.9,-0.2,0.7,0,-0.2,0.9,,1050,870
0,920,117,0,0,5.1,0.2,1,-0.3,0.7,0,-0.2,0.9,,1100,920
0,1120,140,0,0,6.1,0.2,0.4,-1.1,0,-0.7,-1,0.3,,1300,1120
0,1170,146,0,0,6.4,0.2,1.1,-0.4,0.7,0,-0.4,1,,1350,1170
0,1370,170,0,0,7.4,0.2,0.6,-1.2,0,-0.7,-1.1,0.5,,1550,1370
0,1420,176,-65,-0.1,7.7,0.2,1.3,-0.6,0.7,0,-0.5,1.2,,1600,1420
0,1470,182,0,0,7.9,0.2,0.6,-1.3,0,-0.7,-1.2,0.5,,1650,1470
0,1670,207,-57.7,-0.1,9,0.3,0.8,-1.4,0,-0.7,-1.3,1.3,,1850,1670
0,1720,213,-55.8,-0.1,9.3,0.3,1.5,-0.8,0.7,0,-1.4,2,,1900,1720
0,1770,220,-54.9,-0.1,9.5,0.3,0.9,-1.5,0,-0.7,-2,1.4,,1950,1770
0,1820,226,-53.6,-0.1,9.8,0.3,1.6,-0.9,0.6,0,-1.4,2,,2000,1820
0,1870,233,-52.8,-0.1,10.1,0.3,1,-1.6,0,-0.6,-2.1,1.4,,2050,1870
0,1920,240,-51.1,-0.1,10.4,0.3,1.7,-1,0.6,0,-1.5,2.1,,2100,1920
0,1970,246,-50.5,-0.1,10.6,0.3,1.7,-1.1,0.6,0,-1.5,2.1,,2150,1970
0,2020,253,-49.4,-0.1,10.9,0.3,1.8,-1.1,0.6,0,-1.6,2.2,,2200,2020
0,2120,267,-48.2,-0.1,11.5,0.3,1.3,-1.8,0,-0.6,-2.3,1.6,,2300,2120
0,2170,274,0,0,11.8,0.4,2,-1.3,0.6,0,-1.7,2.3,,2350,2170
0,2220,282,-46.3,-0.1,12.1,0.4,1.4,-2,0,-0.6,-2.4,1.7,,2400,2220
0,2270,289,-45.5,-0.2,12.4,0.4,2.1,-1.4,0.6,0,-1.8,2.4,,2450,2270
0,2320,296,-44.7,-0.2,12.7,0.4,1.5,-2.1,0,-0.6,-3.1,1.8,,2500,2320
0,2370,304,-44.3,-0.2,13,0.4,1.6,-2.1,0,-0.6,-3.1,2.4,,2550,2370
0,2470,319,-43.2,-0.2,13.6,0.4,2.3,-2.9,0,-0.6,-3.2,2.5,,2650,2470
0,2520,327,-42.5,-0.2,13.9,0.4,2.4,-2.9,0,-0.6,-3.2,2.6,,2700,2520
0,2570,335,-42.3,-0.2,14.2,0.4,3.1,-2.4,0.6,0,-2.7,3.2,,2750,2570
0,2620,343,-41.6,-0.2,14.5,0.4,2.5,-3.1,0,-0.6,-3.3,2.7,,2800,2620
0,2670,352,-41.4,-0.2,14.9,0.5,3.2,-2.5,0.6,0,-2.8,3.3,,2850,2670
0,2720,360,-40.8,-0.2,15.2,0.5,2.7,-3.2,0,-0.6,-3.4,2.8,,2900,2720
0,2770,368,-40.2,-0.2,15.5,0.5,2.8,-3.3,0,-0.6,-3.4,2.8,,2950,2770
0,2820,377,-40.1,-0.2,15.9,0.5,3.4,-2.8,0.6,0,-3.5,4,,3000,2820
0,2870,386,-40.1,-0.2,16.2,0.5,2.9,-3.4,0,-0.6,-4.1,3.5,,3050,2870
0,2920,395,-40,-0.3,16.6,0.5,3.6,-2.9,0.6,0,-3.6,4.1,,3100,2920
0,2970,405,-39.4,-0.2,16.9,0.5,3.1,-3.6,0,-0.6,-4.2,3.6,,3150,2970
0,3020,414,-39.4,-0.3,17.3,0.5,3.2,-3.6,0,-0.6,-4.3,3.6,,3200,3020
0,3070,424,-39.4,-0.3,17.7,0.5,3.3,-3.7,0,-0.6,-4.3,3.7,,3250,3070
0,3120,434,-39,-0.3,18.1,0.6,3.9,-3.3,0.6,0,-3.8,4.3,,3300,3120
0,3170,444,-39,-0.3,18.5,0.6,3.5,-3.9,0,-0.6,-5,4.3,,3350,3170
0,3220,456,-39.5,-0.4,18.9,0.6,4.1,-3.5,0.6,0,-4.5,4.9,,3400,3220
0,3270,466,-39.6,-0.3,19.3,0.6,3.7,-4.1,0,-0.6,-5,4.4,,3450,3270
0,3320,478,-39.2,-0.4,19.7,0.6,4.3,-4.2,0,-0.6,-5.1,4.4,,3500,3320
0,3370,490,-39.8,-0.4,20.2,0.6,5,-4.3,0.5,0,-4.6,5,,3550,3370
0,3420,503,-41.3,-0.5,20.6,0.6,4.6,-4.9,0.5,-0.5,-5.2,4.5,,3600,3420
0,3470,516,-40.5,-0.4,21.1,0.7,4.7,-5.1,0.5,-0.5,-5.8,5.1,,3650,3470
0,3520,530,-42.2,-0.5,21.6,0.7,5.3,-4.7,1,-0.5,-5.3,5.6,,3700,3520
0,3570,544,-42.4,-0.5,22.1,0.7,5.4,-4.8,1,-0.5,-5.3,5.7,,3750,3570
0,3620,561,-44.5,-0.6,22.7,0.7,5.1,-5.4,0.5,-1,-5.9,5.2,,3800,3620
0,3670,577,-44.8,-0.6,23.2,0.7,5.2,-5.5,0.5,-1,-6.4,5.8,,3850,3670
0,3720,596,-48.1,-0.7,23.9,0.8,5.4,-5.7,0.5,-1,-6.5,5.8,,3900,3720
0,3770,617,-51.6,-0.9,24.6,0.8,5.6,-5.9,0.5,-1,-6.5,5.8,,3950,3770
0,3820,641,-55.7,-1,25.4,0.8,6.7,-6,1,-0.5,-6.5,6.8,,4000,3820
0,3870,671,-63.2,-1.2,26.4,0.8,6.9,-6.3,0.9,-0.5,-6.5,6.8,,4050,3870
0,3920,714,-80.7,-1.7,27.7,0.9,6.8,-7,0.5,-0.9,-7.4,6.7,,4100,3920
