Charge,Dist_m,Elev_mil,D_Elev_per_100m_DR_mil,TOF_per_100m_DR_sec,TOF_sec,Az_per_1ms_mil,w_range_1ms_h_m,w_range_1ms_t_m,air_t_1_dec_m,air_t_1_inc_m,air_dens_1_dec_m,air_dens_1_inc_m
0,600,36,-,-,2.1,-,-,-,-,-,-,-
0,700,42,-,-,2.4,-,-,-,-,-,-,-
0,800,48,-,-,2.8,-,-,-,-,-,-,-
0,900,54,-,-,3.1,-,-,-,-,-,-,-
0,1000,60,-,-,3.5,-,-,-,-,-,-,-
0,1100,66,-,-,3.8,-,-,-,-,-,-,-
0,1200,71,-,-,4.1,-,-,-,-,-,-,-
0,1300,78,-,-,4.5,-,-,-,-,-,-,-
0,1400,84,-,-,4.8,-,-,-,-,-,-,-
0,1500,90,-,-,5.2,-,-,-,-,-,-,-
0,1600,96,-,-,5.5,-,-,-,-,-,-,-
0,1700,102,-60.4,0,5.9,-,-,-,-,-,-,-
0,1800,108,-57.2,0,6.2,-,-,-,-,-,-,-
0,1900,114,-54.2,0,6.6,-,-,-,-,-,-,-
0,2000,120,-51.6,0,6.9,-,-,-,-,-,-,-
0,2100,126,-49.2,0,7.3,-,-,-,-,-,-,-
0,2200,132,-47.1,0,7.7,-,-,-,-,-,-,-
0,2300,138,-45.1,0,8,-,-,-,-,-,-,-
0,2400,144,-43.3,0,8.4,-,-,-,-,-,-,-
0,2500,151,-41.6,0,8.7,-,-,-,-,-,-,-
0,2600,157,-40.1,0,9.1,-,-,-,-,-,-,-
0,2700,163,-38.7,-0.1,9.4,-,-,-,-,-,-,-
0,2800,169,-37.4,-0.1,9.8,-,-,-,-,-,-,-
0,2900,176,-36.2,-0.1,10.2,-,-,-,-,-,-,-
0,3000,182,-35.1,-0.1,10.5,-,-,-,-,-,-,-
0,3100,188,-34,-0.1,10.9,-,-,-,-,-,-,-
0,3200,195,-33,-0.1,11.2,-,-,-,-,-,-,-
0,3300,201,-32.1,-0.1,11.6,-,-,-,-,-,-,-
0,3400,208,-31.3,-0.1,12,-,-,-,-,-,-,-
0,3500,214,-30.5,-0.1,12.3,-,-,-,-,-,-,-
0,3600,221,-29.7,-0.1,12.7,-,-,-,-,-,-,-
0,3700,227,-29,-0.1,13.1,-,-,-,-,-,-,-
0,3800,234,-28.3,-0.1,13.5,-,-,-,-,-,-,-
0,3900,240,-27.7,-0.1,13.8,-,-,-,-,-,-,-
0,4000,247,-27.1,-0.1,14.2,-,-,-,-,-,-,-
0,4100,254,-26.5,-0.1,14.6,-,-,-,-,-,-,-
