Charge,Dist_m,Elev_mil,D_Elev_per_100m_DR_mil,TOF_per_100m_DR_sec,TOF_sec,Az_per_1ms_mil,w_range_1ms_h_m,w_range_1ms_t_m,air_t_1_dec_m,air_t_1_inc_m,air_dens_1_dec_m,air_dens_1_inc_m
0,50,1548,0,0,14.2,4.5,0.2,-0.2,0,0,0,0
0,100,1495,9.1,1.4,14.1,2.3,0.3,-0.2,0,0,0,0
0,150,1441,14.4,1.4,14,1.5,0.3,-0.2,0,0,0,0
0,200,1385,19.6,1.4,13.9,1.2,0.3,-0.2,0,0,0,0.1
0,250,1326,27,1.5,13.7,0.9,0.3,-0.2,0.1,-0.1,-0.1,0.1
0,300,1262,35.4,1.5,13.4,0.8,0.3,-0.3,0,-0.1,-0.1,0
0,350,1191,47.6,1.7,13,0.7,0.3,-0.3,0,-0.1,-0.1,0
0,400,1109,66.1,1.8,12.6,0.6,0.4,-0.3,0.1,-0.1,-0.1,0.1
1,200,1544,1.3,0.7,27.7,7.9,1.6,-1.5,0,0,-0.2,0.2
1,250,1530,1.8,0.7,27.7,6.4,1.7,-1.6,0,-0.1,-0.2,0.2
1,300,1516,2,0.7,27.6,5.3,1.7,-1.5,0.1,0,-0.2,0.3
1,350,1502,2.4,0.7,27.6,4.6,1.7,-1.6,0.1,0,-0.3,0.3
1,400,1488,2.8,0.7,27.6,4,1.8,-1.6,0,-0.1,-0.4,0.3
1,450,1473,3.3,0.8,27.5,3.6,1.8,-1.6,0.1,-0.1,-0.4,0.3
1,500,1459,3.7,0.8,27.5,3.2,1.8,-1.7,0.1,-0.1,-0.4,0.4
1,550,1445,4,0.8,27.4,2.9,1.9,-1.7,0.1,-0.1,-0.4,0.5
1,600,1430,4.5,0.8,27.3,2.7,1.9,-1.7,0.1,-0.1,-0.5,0.5
1,650,1415,4.8,0.8,27.3,2.5,1.9,-1.7,0.1,-0.1,-0.5,0.6
1,700,1400,5.4,0.8,27.2,2.3,2,-1.8,0.1,-0.2,-0.6,0.5
1,750,1384,5.8,0.8,27.1,2.2,2,-1.8,0.1,-0.2,-0.7,0.6
1,800,1369,6.2,0.8,27,2.1,2.1,-1.8,0.2,-0.1,-0.6,0.7
1,850,1353,6.9,0.8,26.9,1.9,2.2,-1.9,0.1,-0.1,-0.7,0.8
1,900,1337,7.6,0.8,26.8,1.8,2.1,-2,0.1,-0.2,-0.8,0.7
1,950,1321,8.3,0.8,26.7,1.7,2.1,-2,0.1,-0.2,-0.9,0.8
1,1000,1304,8.8,0.8,26.6,1.7,2.3,-1.9,0.1,-0.1,-0.8,0.8
1,1050,1287,9.6,0.8,26.4,1.6,2.3,-2,0.3,-0.1,-0.9,0.9
1,1100,1270,10.4,0.9,26.3,1.5,2.4,-2.1,0.1,-0.1,-0.9,0.9
1,1150,1252,11.3,0.9,26.1,1.4,2.3,-2.2,0.1,-0.3,-1.1,1
1,1200,1233,12.2,0.9,26,1.4,2.4,-2.2,0.1,-0.1,-1,1
1,1250,1214,13.2,0.9,25.8,1.3,2.5,-2.2,0.2,-0.2,-1.1,1.1
1,1300,1195,14.3,0.9,25.6,1.3,2.5,-2.3,0.2,-0.2,-1.1,1.1
1,1350,1174,15.8,1,25.4,1.2,2.5,-2.3,0.2,-0.2,-1.2,1.2
1,1400,1152,17.4,1,25.1,1.2,2.6,-2.3,0.2,-0.2,-1.2,1.2
1,1450,1130,19.7,1,24.8,1.1,2.6,-2.4,0.2,-0.2,-1.3,1.3
1,1500,1106,21.5,1.1,24.6,1.1,2.6,-2.4,0.2,-0.2,-1.4,1.3
1,1550,1080,24.2,1.1,24.2,1,2.6,-2.4,0.2,-0.2,-1.4,1.4
1,1600,1052,28.1,1.2,23.8,1,2.6,-2.4,0.2,-0.2,-1.5,1.5
1,1650,1021,32.4,1.3,23.4,0.9,2.7,-2.4,0.2,-0.2,-1.3,1.5
